Name,Status,ID,Type,Impressions,Clickthroughs,Off-site Average Order Value,Off-site Conversion,Off-site Purchase Qty,Off-site Revenue,Off-site Revenue Per Mille,On-site Average Order Value,On-site Conversion,On-site Purchase Qty,On-site Revenue,On-site Revenue Per Mille
YG Bulbs SALE 2026 - EM3561B,Active,yg-bulbs-sale-2026-em3561b,Email,56556,1219,22.79,0.02,12.0,273.51,4.84,0,0,0,0,0
YG Bulbs SALE 2026 - EM3561A,Active,yg-bulbs-sale-2026-em3561a,Email,11107,120,18.64,0.03,3.0,55.92,5.03,0,0,0,0,0
YG Bulbs SALE 2026 - EM3551E,Active,yg-bulbs-sale-2026-em3551e,Email,16944,176,0,0,0,0,0,0,0,0,0,0
YG Bulbs SALE 2026 - EM3551D,Active,yg-bulbs-sale-2026-em3551d,Email,98470,399,36.96,0.0,1.0,36.96,0.38,0,0,0,0,0
YG Bulbs SALE 2026 - EM3551C,Active,yg-bulbs-sale-2026-em3551c,Email,27320,256,42.91,0.01,4.0,171.65,6.28,0,0,0,0,0
YG Bulbs SALE 2026 - EM3551B,Active,yg-bulbs-sale-2026-em3551b,Email,54510,1178,38.42,0.02,9.0,345.75,6.34,0,0,0,0,0
YG Bulbs SALE 2026 - EM3551A,Active,yg-bulbs-sale-2026-em3551a,Email,9980,97,0,0,0,0,0,0,0,0,0,0
YG Bulbs SALE 2026 - EM3525E,Inactive,yg-bulbs-sale-2026-em3525e,Email,12462,133,0,0,0,0,0,0,0,0,0,0
YG Bulbs SALE 2026 - EM3525D,Active,yg-bulbs-sale-2026-em3525d,Email,92531,406,0,0,0,0,0,0,0,0,0,0
YG Bulbs SALE 2026 - EM3525C,Active,yg-bulbs-sale-2026-em3525c,Email,35478,283,35.96,0.01,2.0,71.92,2.03,0,0,0,0,0
YG Bulbs SALE 2026 - EM3525B,Active,yg-bulbs-sale-2026-em3525b,Email,42027,912,27.93,0.02,10.0,279.33000000000004,6.65,0,0,0,0,0
YG Bulbs SALE 2026 - EM3525A,Inactive,yg-bulbs-sale-2026-em3525a,Email,6951,56,0,0,0,0,0,0,0,0,0,0
YG Bulbs SALE 2026 - EM3512E,Active,yg-bulbs-sale-2026-em3512e,Email,11043,176,27.98,0.02,2.0,55.95,5.07,0,0,0,0,0
YG Bulbs SALE 2026 - EM3512D,Active,yg-bulbs-sale-2026-em3512d,Email,93255,553,30.96,0.0,1.0,30.96,0.33,0,0,0,0,0
YG Bulbs SALE 2026 - EM3512C,Active,yg-bulbs-sale-2026-em3512c,Email,37088,391,13.98,0.0,1.0,13.98,0.38,0,0,0,0,0
YG Bulbs SALE 2026 - EM3512B,Active,yg-bulbs-sale-2026-em3512b,Email,39031,1056,21.81,0.04,15.0,327.19,8.38,0,0,0,0,0
YG Bulbs SALE 2026 - EM3512A,Inactive,yg-bulbs-sale-2026-em3512a,Email,6274,73,0,0,0,0,0,0,0,0,0,0
YG Border Plants EM3584E,Active,yg-border-plants-em3584e,Email,16619,290,71.7,0.01,2.0,143.41,8.63,0,0,0,0,0
YG Border Plants EM3584D,Active,yg-border-plants-em3584d,Email,84499,630,0,0,0,0,0,0,0,0,0,0
YG Border Plants EM3584C,Active,yg-border-plants-em3584c,Email,15815,208,0,0,0,0,0,0,0,0,0,0
YG Border Plants EM3584B,Active,yg-border-plants-em3584b,Email,55965,1323,100.32,0.01,8.0,802.5500000000001,14.34,0,0,0,0,0
YG Border Plants EM3584A,Active,yg-border-plants-em3584a,Email,11926,228,76.86,0.01,1.0,76.86,6.44,0,0,0,0,0
YG BOGOF 60s EM3524E New,Inactive,yg-bogof-60s-em3524e-new,Email,12472,382,50.42,0.02,2.0,100.85,8.09,0,0,0,0,0
YG BOGOF 60s EM3524D New,Active,yg-bogof-60s-em3524d-new,Email,94099,1063,27.59,0.01,8.0,220.7,2.35,0,0,0,0,0
YG BOGOF 60s EM3524C New,Active,yg-bogof-60s-em3524c-new,Email,35940,967,31.9,0.04,15.0,478.51,13.31,0,0,0,0,0
YG BOGOF 60s EM3524B New,Inactive,yg-bogof-60s-em3524b-new,Email,43644,2409,33.69,0.08,37.0,1246.49,28.56,0,0,0,0,0
YG BOGOF 60s EM3524A New,Inactive,yg-bogof-60s-em3524a-new,Email,7119,222,0,0,0,0,0,0,0,0,0,0
YG BOGOF 60s EM3505E New,Inactive,yg-bogof-60s-em3505e-new,Email,10871,352,32.86,0.04,4.0,131.44,12.09,0,0,0,0,0
YG BOGOF 60s EM3505D New,Inactive,yg-bogof-60s-em3505d-new,Email,97135,1101,23.59,0.01,8.0,188.74,1.94,0,0,0,0,0
YG BOGOF 60s EM3505C New,Inactive,yg-bogof-60s-em3505c-new,Email,39060,792,26.55,0.02,7.0,185.85,4.76,0,0,0,0,0
YG BOGOF 60s EM3505B New,Inactive,yg-bogof-60s-em3505b-new,Email,38332,1869,23.54,0.04,17.0,400.14,10.44,0,0,0,0,0
YG BOGOF 60s EM3505A New,Inactive,yg-bogof-60s-em3505a-new,Email,6128,169,0,0,0,0,0,0,0,0,0,0
YG BOGOF 60s EM3505A,Inactive,yg-bogof-60s-em3505a,Email,15,0,0,0,0,0,0,0,0,0,0,0
YG BOGOF 60s EM3499E,Inactive,yg-bogof-60s-em3499e,Email,10409,266,0,0,0,0,0,0,0,0,0,0
YG BOGOF 60s EM3499D,Inactive,yg-bogof-60s-em3499d,Email,95525,944,26.47,0.0,2.0,52.94,0.55,0,0,0,0,0
YG BOGOF 60s EM3499C,Inactive,yg-bogof-60s-em3499c,Email,38963,872,30.79,0.03,11.0,338.65000000000003,8.69,0,0,0,0,0
YG BOGOF 60s EM3499B,Inactive,yg-bogof-60s-em3499b,Email,38222,1845,33.57,0.07,26.0,872.8100000000001,22.84,0,0,0,0,0
YG BOGOF 60s EM3499A,Inactive,yg-bogof-60s-em3499a,Email,6068,164,0,0,0,0,0,0,0,0,0,0
YG BOGOF 40s EM3509E,Inactive,yg-bogof-40s-em3509e,Email,10607,275,23.65,0.03,3.0,70.96,6.69,0,0,0,0,0
YG BOGOF 40s EM3509D,Active,yg-bogof-40s-em3509d,Email,93385,814,40.82,0.01,6.0,244.91,2.62,0,0,0,0,0
YG BOGOF 40s EM3509C,Inactive,yg-bogof-40s-em3509c,Email,37426,783,27.71,0.04,14.0,387.89,10.36,0,0,0,0,0
YG BOGOF 40s EM3509B,Inactive,yg-bogof-40s-em3509b,Email,37216,1604,24.72,0.1,39.0,964.0500000000001,25.9,0,0,0,0,0
YG BOGOF 40s EM3509A,Inactive,yg-bogof-40s-em3509a,Email,6034,118,0,0,0,0,0,0,0,0,0,0
YG BOGOF 40s EM3501E,Inactive,yg-bogof-40s-em3501e,Email,10267,170,19.99,0.01,1.0,19.99,1.95,0,0,0,0,0
YG BOGOF 40s EM3501D,Inactive,yg-bogof-40s-em3501d,Email,96459,926,20.99,0.01,5.0,104.92999999999999,1.09,0,0,0,0,0
YG BOGOF 40s EM3501C,Inactive,yg-bogof-40s-em3501c,Email,38744,734,33.23,0.03,12.0,398.72,10.29,0,0,0,0,0
YG BOGOF 40s EM3501B,Inactive,yg-bogof-40s-em3501b,Email,36928,1291,22.85,0.06,24.0,548.4300000000001,14.85,0,0,0,0,0
YG BOGOF 40s EM3501A,Inactive,yg-bogof-40s-em3501a,Email,6068,149,18.49,0.07,4.0,73.96,12.19,0,0,0,0,0
YG BOGOF 40s EM3490E,Inactive,yg-bogof-40s-em3490e,Email,10145,249,46.62,0.03,3.0,139.85,13.79,0,0,0,0,0
YG BOGOF 40s EM3490D,Inactive,yg-bogof-40s-em3490d,Email,97698,965,27.95,0.0,4.0,111.79999999999998,1.14,0,0,0,0,0
YG BOGOF 40s EM3490C,Inactive,yg-bogof-40s-em3490c,Email,38583,711,19.79,0.03,10.0,197.86,5.13,0,0,0,0,0
YG BOGOF 40s EM3490B 2,Inactive,yg-bogof-40s-em3490b-2,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG BOGOF 40s EM3490B,Inactive,yg-bogof-40s-em3490b,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BOGOF 40s EM3490A,Inactive,yg-bogof-40s-em3490a,Email,43917,1764,38.83,0.06,25.0,970.7,22.1,0,0,0,0,0
YG BOGOF 40s EM3481E,Inactive,yg-bogof-40s-em3481e,Email,31172,663,34.97,0.01,4.0,139.88,4.49,0,0,0,0,0
YG BOGOF 40s EM3481D,Inactive,yg-bogof-40s-em3481d,Email,96431,929,17.99,0.0,3.0,53.97,0.56,0,0,0,0,0
YG BOGOF 40s EM3481C,Inactive,yg-bogof-40s-em3481c,Email,39652,892,19.7,0.02,7.0,137.89999999999998,3.48,0,0,0,0,0
YG BOGOF 40s EM3481B,Inactive,yg-bogof-40s-em3481b,Email,39017,1688,28.5,0.06,24.0,683.9599999999999,17.53,0,0,0,0,0
YG BOGOF 40s EM3481A,Inactive,yg-bogof-40s-em3481a,Email,6173,129,0,0,0,0,0,0,0,0,0,0
YG BOGOF 12s EM3541E,Inactive,yg-bogof-12s-em3541e,Email,13767,409,36.97,0.01,1.0,36.97,2.69,0,0,0,0,0
YG BOGOF 12s EM3541D,Active,yg-bogof-12s-em3541d,Email,93818,1006,33.07,0.01,7.0,231.51999999999998,2.47,0,0,0,0,0
YG BOGOF 12s EM3541C,Active,yg-bogof-12s-em3541c,Email,32452,750,21.45,0.03,10.0,214.53,6.61,0,0,0,0,0
YG BOGOF 12s EM3541B,Active,yg-bogof-12s-em3541b,Email,47209,2425,34.85,0.06,29.0,1010.6100000000002,21.41,0,0,0,0,0
YG BOGOF 12s EM3541A New v2,Inactive,yg-bogof-12s-em3541a-new-v2,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BOGOF 12s EM3541A New,Inactive,yg-bogof-12s-em3541a-new,Email,5,0,0,0,0,0,0,0,0,0,0,0
YG BOGOF 12s EM3541A,Inactive,yg-bogof-12s-em3541a,Email,8120,208,35.96,0.02,2.0,71.92,8.86,0,0,0,0,0
YG BOGOF 12s EM3507E,Active,yg-bogof-12s-em3507e,Email,10653,302,49.43,0.02,2.0,98.86,9.28,0,0,0,0,0
YG BOGOF 12s EM3507D,Active,yg-bogof-12s-em3507d,Email,95876,883,23.8,0.01,6.0,142.82,1.49,0,0,0,0,0
YG BOGOF 12s EM3507C,Active,yg-bogof-12s-em3507c,Email,37979,706,66.42,0.01,2.0,132.85,3.5,0,0,0,0,0
YG BOGOF 12s EM3507B,Active,yg-bogof-12s-em3507b,Email,38310,1708,34.94,0.05,21.0,733.6600000000002,19.15,0,0,0,0,0
YG BOGOF 12s EM3507A New,Inactive,yg-bogof-12s-em3507a-new,Email,6295,110,49.94,0.02,1.0,49.94,7.93,0,0,0,0,0
YG Black Friday Countdown 281125,Inactive,yg-black-friday-countdown-281125,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG Black Friday Countdown 271125,Active,yg-black-friday-countdown-271125,Email,172515,0,0,0,0,0,0,0,0,0,0,0
YG Black Friday Countdown 261125,Active,yg-black-friday-countdown-261125,Email,175587,0,0,0,0,0,0,0,0,0,0,0
YG Black Friday Countdown 251125,Active,yg-black-friday-countdown-251125,Email,173340,0,0,0,0,0,0,0,0,0,0,0
YG Black Friday Countdown 241125,Active,yg-black-friday-countdown-241125,Email,175036,0,0,0,0,0,0,0,0,0,0,0
YG Black Friday Countdown 231125,Active,yg-black-friday-countdown-231125,Email,176644,0,0,0,0,0,0,0,0,0,0,0
YG Bestsellers YGTEST,Inactive,yg-bestsellers-ygtest,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS MULTI-CAT EM3540E,Active,yg-bestsellers-multi-cat-em3540e,Email,14720,420,21.38,0.01,1.0,21.38,1.45,0,0,0,0,0
YG BESTSELLERS MULTI-CAT EM3540D,Active,yg-bestsellers-multi-cat-em3540d,Email,93790,860,64.79,0.0,3.0,194.36,2.07,0,0,0,0,0
YG BESTSELLERS MULTI-CAT EM3540C,Active,yg-bestsellers-multi-cat-em3540c,Email,28935,399,53.55,0.02,5.0,267.74,9.25,0,0,0,0,0
YG BESTSELLERS MULTI-CAT EM3540B,Active,yg-bestsellers-multi-cat-em3540b,Email,45363,1223,28.73,0.05,21.0,603.2700000000001,13.3,0,0,0,0,0
YG BESTSELLERS MULTI-CAT EM3540A,Inactive,yg-bestsellers-multi-cat-em3540a,Email,8315,139,30.97,0.04,3.0,92.92,11.17,0,0,0,0,0
YG Bestsellers Most Popular EM3502E,Inactive,yg-bestsellers-most-popular-em3502e,Email,10389,100,34.48,0.02,2.0,68.95,6.64,0,0,0,0,0
YG Bestsellers Most Popular EM3502D,Active,yg-bestsellers-most-popular-em3502d,Email,95629,255,55.35,0.0,2.0,110.7,1.16,0,0,0,0,0
YG Bestsellers Most Popular EM3502C,Active,yg-bestsellers-most-popular-em3502c,Email,37042,151,35.01,0.0,1.0,35.01,0.95,0,0,0,0,0
YG Bestsellers Most Popular EM3502B,Active,yg-bestsellers-most-popular-em3502b,Email,34264,265,48.41,0.01,2.0,96.83,2.83,0,0,0,0,0
YG Bestsellers Most Popular EM3502A v2,Inactive,yg-bestsellers-most-popular-em3502a-v2,Email,5922,52,0,0,0,0,0,0,0,0,0,0
YG Bestsellers Most Popular EM3502A,Inactive,yg-bestsellers-most-popular-em3502a,Email,6,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3582E,Inactive,yg-bestsellers-em3582e,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3582D,Inactive,yg-bestsellers-em3582d,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3582C,Inactive,yg-bestsellers-em3582c,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3582B,Inactive,yg-bestsellers-em3582b,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3582A,Inactive,yg-bestsellers-em3582a,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3581E,Active,yg-bestsellers-em3581e,Email,18555,433,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3581D,Active,yg-bestsellers-em3581d,Email,89779,843,34.97,0.01,5.0,174.82999999999998,1.95,0,0,0,0,0
YG BESTSELLERS EM3581C,Active,yg-bestsellers-em3581c,Email,17314,200,27.64,0.02,3.0,82.91,4.79,0,0,0,0,0
YG BESTSELLERS EM3581B,Active,yg-bestsellers-em3581b,Email,61534,1366,26.76,0.02,13.0,347.9,5.65,0,0,0,0,0
YG BESTSELLERS EM3581A,Active,yg-bestsellers-em3581a,Email,12651,231,35.96,0.02,3.0,107.89,8.53,0,0,0,0,0
YG BESTSELLERS EM3580E,Active,yg-bestsellers-em3580e,Email,16643,334,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3580D,Active,yg-bestsellers-em3580d,Email,86277,564,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3580C,Active,yg-bestsellers-em3580c,Email,16368,118,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3580B,Active,yg-bestsellers-em3580b,Email,53901,927,60.69,0.02,12.0,728.2400000000002,13.51,0,0,0,0,0
YG BESTSELLERS EM3580A,Active,yg-bestsellers-em3580a,Email,11307,135,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3577E,Active,yg-bestsellers-em3577e,Email,18463,405,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3577D,Active,yg-bestsellers-em3577d,Email,91112,887,37.46,0.0,4.0,149.85999999999999,1.64,0,0,0,0,0
YG BESTSELLERS EM3577C,Active,yg-bestsellers-em3577c,Email,18800,302,49.94,0.01,2.0,99.87,5.31,0,0,0,0,0
YG BESTSELLERS EM3577B,Active,yg-bestsellers-em3577b,Email,62893,1707,46.24,0.01,8.0,369.95,5.88,0,0,0,0,0
YG BESTSELLERS EM3577A,Active,yg-bestsellers-em3577a,Email,12430,237,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3574E,Active,yg-bestsellers-em3574e,Email,41428,1536,28.78,0.01,6.0,172.68,4.17,0,0,0,0,0
YG BESTSELLERS EM3574D,Active,yg-bestsellers-em3574d,Email,202667,3425,43.43,0.0,9.0,390.85,1.93,0,0,0,0,0
YG BESTSELLERS EM3574C,Active,yg-bestsellers-em3574c,Email,46221,940,43.73,0.02,8.0,349.84,7.57,0,0,0,0,0
YG BESTSELLERS EM3574B,Active,yg-bestsellers-em3574b,Email,154467,6430,32.7,0.03,51.0,1667.62,10.8,0,0,0,0,0
YG BESTSELLERS EM3574A,Active,yg-bestsellers-em3574a,Email,29442,894,32.95,0.01,2.0,65.91,2.24,0,0,0,0,0
YG BESTSELLERS EM3572E,Active,yg-bestsellers-em3572e,Email,33455,1173,22.96,0.0,1.0,22.96,0.69,0,0,0,0,0
YG BESTSELLERS EM3572D,Active,yg-bestsellers-em3572d,Email,169777,2606,48.44,0.0,6.0,290.61,1.71,0,0,0,0,0
YG BESTSELLERS EM3572C,Active,yg-bestsellers-em3572c,Email,40861,924,35.29,0.01,5.0,176.46999999999997,4.32,0,0,0,0,0
YG BESTSELLERS EM3572B,Active,yg-bestsellers-em3572b,Email,122856,5659,45.2,0.03,38.0,1717.4399999999998,13.98,0,0,0,0,0
YG BESTSELLERS EM3572A,Active,yg-bestsellers-em3572a,Email,22497,615,23.95,0.01,2.0,47.91,2.13,0,0,0,0,0
YG BESTSELLERS EM3565E,Active,yg-bestsellers-em3565e,Email,42064,1955,49.96,0.05,23.0,1149.07,27.32,0,0,0,0,0
YG BESTSELLERS EM3565D,Active,yg-bestsellers-em3565d,Email,206432,4165,51.31,0.01,25.0,1282.7600000000002,6.21,0,0,0,0,0
YG BESTSELLERS EM3565C,Active,yg-bestsellers-em3565c,Email,56622,1409,28.33,0.04,24.0,680.02,12.01,0,0,0,0,0
YG BESTSELLERS EM3565B,Active,yg-bestsellers-em3565b,Email,155416,7189,34.12,0.08,122.0,4162.7300000000005,26.78,0,0,0,0,0
YG BESTSELLERS EM3565A,Active,yg-bestsellers-em3565a,Email,26669,934,31.79,0.07,18.0,572.15,21.45,0,0,0,0,0
YG BESTSELLERS EM3545E v2,Active,yg-bestsellers-em3545e-v2,Email,31262,1124,37.33,0.02,7.0,261.28000000000003,8.36,0,0,0,0,0
YG BESTSELLERS EM3545E,Inactive,yg-bestsellers-em3545e,Email,5,9,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3545D,Active,yg-bestsellers-em3545d,Email,175760,2560,29.83,0.01,19.0,566.7,3.22,0,0,0,0,0
YG BESTSELLERS EM3545C,Active,yg-bestsellers-em3545c,Email,57951,1566,29.09,0.04,25.0,727.1999999999999,12.55,0,0,0,0,0
YG BESTSELLERS EM3545B,Active,yg-bestsellers-em3545b,Email,112943,5028,28.14,0.08,95.0,2673.0400000000004,23.67,0,0,0,0,0
YG BESTSELLERS EM3545A v2,Active,yg-bestsellers-em3545a-v2,Email,17753,589,19.09,0.05,9.0,171.84,9.68,0,0,0,0,0
YG BESTSELLERS EM3545A,Inactive,yg-bestsellers-em3545a,Email,7,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3542E,Active,yg-bestsellers-em3542e,Email,93991,562,34.85,0.0,3.0,104.56,1.11,0,0,0,0,0
YG BESTSELLERS EM3542D,Active,yg-bestsellers-em3542d,Email,94443,500,76.95,0.0,1.0,76.95,0.81,0,0,0,0,0
YG BESTSELLERS EM3542C,Active,yg-bestsellers-em3542c,Email,29676,322,37.6,0.01,3.0,112.81,3.8,0,0,0,0,0
YG BESTSELLERS EM3542B,Active,yg-bestsellers-em3542b,Email,50237,866,43.44,0.02,9.0,390.96,7.78,0,0,0,0,0
YG BESTSELLERS EM3542A,Inactive,yg-bestsellers-em3542a,Email,8822,154,17.97,0.01,1.0,17.97,2.04,0,0,0,0,0
YG BESTSELLERS EM3540E,Inactive,yg-bestsellers-em3540e,Email,21758,794,52.79,0.06,13.0,686.3,31.54,0,0,0,0,0
YG BESTSELLERS EM3540D,Active,yg-bestsellers-em3540d,Email,147275,1781,34.88,0.01,18.0,627.8900000000001,4.26,0,0,0,0,0
YG BESTSELLERS EM3540C,Active,yg-bestsellers-em3540c,Email,49336,1138,54.22,0.04,20.0,1084.45,21.98,0,0,0,0,0
YG BESTSELLERS EM3540B,Active,yg-bestsellers-em3540b,Email,77059,3117,38.3,0.09,66.0,2527.61,32.8,0,0,0,0,0
YG BESTSELLERS EM3540A,Inactive,yg-bestsellers-em3540a,Email,13017,328,41.68,0.02,3.0,125.04,9.61,0,0,0,0,0
YG BESTSELLERS EM3539E,Inactive,yg-bestsellers-em3539e,Email,14226,366,25.48,0.02,3.0,76.45,5.37,0,0,0,0,0
YG BESTSELLERS EM3539D,Active,yg-bestsellers-em3539d,Email,96925,770,26.31,0.01,5.0,131.54000000000002,1.36,0,0,0,0,0
YG BESTSELLERS EM3539C,Active,yg-bestsellers-em3539c,Email,33170,433,20.15,0.02,6.0,120.9,3.64,0,0,0,0,0
YG BESTSELLERS EM3539B,Active,yg-bestsellers-em3539b,Email,52235,1187,21.86,0.04,20.0,437.1,8.37,0,0,0,0,0
YG BESTSELLERS EM3539A,Inactive,yg-bestsellers-em3539a,Email,7763,173,25.44,0.03,2.0,50.870000000000005,6.55,0,0,0,0,0
YG BESTSELLERS EM3529E,Inactive,yg-bestsellers-em3529e,Email,13492,322,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3529D,Active,yg-bestsellers-em3529dv2,Email,93978,515,51.94,0.0,3.0,155.82,1.66,0,0,0,0,0
YG BESTSELLERS EM3529D,Inactive,yg-bestsellers-em3529d,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3529C,Active,yg-bestsellers-em3529cv2,Email,35063,309,43.95,0.01,5.0,219.77,6.27,0,0,0,0,0
YG BESTSELLERS EM3529C,Inactive,yg-bestsellers-em3529c,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3529B,Active,yg-bestsellers-em3529bv2,Email,44814,651,33.43,0.02,11.0,367.76,8.21,0,0,0,0,0
YG BESTSELLERS EM3529B,Inactive,yg-bestsellers-em3529b,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3529A,Inactive,yg-bestsellers-em3529av2,Email,7704,51,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3529A,Inactive,yg-bestsellers-em3529a,Email,8,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3522E,Active,yg-bestsellers-em3522e,Email,12456,336,22.43,0.02,2.0,44.87,3.6,0,0,0,0,0
YG BESTSELLERS EM3522D,Active,yg-bestsellers-em3522d,Email,94575,807,27.63,0.0,3.0,82.89,0.88,0,0,0,0,0
YG BESTSELLERS EM3522C,Inactive,yg-bestsellers-em3522c,Email,37008,541,25.46,0.02,6.0,152.77,4.13,0,0,0,0,0
YG BESTSELLERS EM3522B,Active,yg-bestsellers-em3522b,Email,44349,1064,35.8,0.03,14.0,501.2099999999999,11.3,0,0,0,0,0
YG BESTSELLERS EM3522A,Active,yg-bestsellers-em3522a,Email,6155,90,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3520E v2,Active,yg-bestsellers-em3520e-v2,Email,16987,862,52.04,0.05,9.0,468.37,27.57,0,0,0,0,0
YG BESTSELLERS EM3520E,Inactive,yg-bestsellers-em3520e,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3520D v2,Active,yg-bestsellers-em3520d-v2,Email,131508,1912,28.96,0.01,10.0,289.58,2.2,0,0,0,0,0
YG BESTSELLERS EM3520D,Inactive,yg-bestsellers-em3520d,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3520C v2,Active,yg-bestsellers-em3520c-v2,Email,53023,1379,28.84,0.04,19.0,547.99,10.33,0,0,0,0,0
YG BESTSELLERS EM3520C,Inactive,yg-bestsellers-em3520c,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3520B v2,Active,yg-bestsellers-em3520b-v2,Email,61898,3174,33.81,0.11,70.0,2367.0200000000004,38.24,0,0,0,0,0
YG BESTSELLERS EM3520B,Inactive,yg-bestsellers-em3520b,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG BESTSELLERS EM3520A v2,Inactive,yg-bestsellers-em3520a-v2,Email,9517,350,28.19,0.05,5.0,140.94,14.81,0,0,0,0,0
YG BESTSELLERS EM3520A,Inactive,yg-bestsellers-em3520a,Email,6400,222,15.98,0.02,1.0,15.98,2.5,0,0,0,0,0
YG Bestsellers CL3357,Inactive,yg-bestsellers-cl3357,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) WELCOME10,Active,yg-bestsellers-from-each-range-welcome10,Email,93728,3896,36.59,0.12,116.0,4244.8,45.29,0,0,0,0,0
YG Bestsellers (from each range) EMPP2,Inactive,yg-bestsellers-from-each-range-empp2,Email,8,0,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3491F,Active,yg-bestsellers-from-each-range-em3491f,Email,48613,138,24.95,0.0,1.0,24.95,0.51,0,0,0,0,0
YG Bestsellers (from each range) EM3491E,Inactive,yg-bestsellers-from-each-range-em3491e,Email,10013,103,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3491D,Active,yg-bestsellers-from-each-range-em3491d,Email,48327,139,33.97,0.0,1.0,33.97,0.7,0,0,0,0,0
YG Bestsellers (from each range) EM3491C,Active,yg-bestsellers-from-each-range-em3491c,Email,38158,159,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3491B,Active,yg-bestsellers-from-each-range-em3491b,Email,18293,126,23.08,0.01,2.0,46.16,2.52,0,0,0,0,0
YG Bestsellers (from each range) EM3491A,Inactive,yg-bestsellers-from-each-range-em3491a,Email,5972,34,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3491,Active,yg-bestsellers-from-each-range-em3491,Email,17967,207,24.95,0.01,1.0,24.95,1.39,0,0,0,0,0
YG Bestsellers (from each range) EM3487E,Inactive,yg-bestsellers-from-each-range-em3487e,Email,9971,57,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3487D,Active,yg-bestsellers-from-each-range-em3487d,Email,95869,200,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3487C,Active,yg-bestsellers-from-each-range-em3487c,Email,37359,72,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3487B,Active,yg-bestsellers-from-each-range-em3487b,Email,35038,128,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3487A,Inactive,yg-bestsellers-from-each-range-em3487a,Email,5790,16,0,0,0,0,0,0,0,0,0,0
YG Bestsellers (from each range) EM3480E,Active,yg-bestsellers-from-each-range-em3480e,Email,22359,792,44.45,0.04,8.0,355.63,15.91,0,0,0,0,0
YG Bestsellers (from each range) EM3480D,Active,yg-bestsellers-from-each-range-em3480d,Email,207541,2609,39.1,0.01,16.0,625.5600000000001,3.01,0,0,0,0,0
YG Bestsellers (from each range) EM3480C,Active,yg-bestsellers-from-each-range-em3480c,Email,90145,1586,42.86,0.01,12.0,514.29,5.71,0,0,0,0,0
YG Bestsellers (from each range) EM3480B,Active,yg-bestsellers-from-each-range-em3480b,Email,93128,3792,31.8,0.07,62.0,1971.48,21.17,0,0,0,0,0
YG Bestsellers (from each range) EM3480A,Inactive,yg-bestsellers-from-each-range-em3480a,Email,13584,356,47.95,0.03,4.0,191.79,14.12,0,0,0,0,0
YG Bestsellers (from each range) EM3477A,Inactive,yg-bestsellers-from-each-range-em3477a,Email,6029,54,0,0,0,0,0,0,0,0,0,0
