Name,Status,ID,Type,Impressions,Clickthroughs,Off-site Average Order Value,Off-site Conversion,Off-site Purchase Qty,Off-site Revenue,Off-site Revenue Per Mille,On-site Average Order Value,On-site Conversion,On-site Purchase Qty,On-site Revenue,On-site Revenue Per Mille
YG 2026 Most Popular - EM3550D v2,Active,yg-2026-most-popular-em3550d-v2,Email,99404,495,41.8,0.0,3.0,125.41000000000001,1.26,0,0,0,0,0
YG 2026 Most Popular - EM3550D,Inactive,yg-2026-most-popular-em3550d,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3550C v2,Active,yg-2026-most-popular-em3550c-v2,Email,27799,205,29.97,0.0,1.0,29.97,1.08,0,0,0,0,0
YG 2026 Most Popular - EM3550C,Inactive,yg-2026-most-popular-em3550c,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3550B v2,Active,yg-2026-most-popular-em3550b-v2,Email,56470,992,59.93,0.02,10.0,599.3199999999999,10.61,0,0,0,0,0
YG 2026 Most Popular - EM3550B,Inactive,yg-2026-most-popular-em3550b,Email,2,0,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3550A v2,Active,yg-2026-most-popular-em3550a-v2,Email,9956,121,27.93,0.01,1.0,27.93,2.81,0,0,0,0,0
YG 2026 Most Popular - EM3550A,Inactive,yg-2026-most-popular-em3550a,Email,9,3,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3518E,Active,yg-2026-most-popular-em3518e,Email,11640,143,43.47,0.02,2.0,86.94,7.47,0,0,0,0,0
YG 2026 Most Popular - EM3518D,Active,yg-2026-most-popular-em3518d,Email,92155,450,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3518C,Active,yg-2026-most-popular-em3518c,Email,35206,260,46.93,0.0,1.0,46.93,1.33,0,0,0,0,0
YG 2026 Most Popular - EM3518B,Active,yg-2026-most-popular-em3518b,Email,36187,510,53.07,0.01,3.0,159.2,4.4,0,0,0,0,0
YG 2026 Most Popular - EM3518A,Active,yg-2026-most-popular-em3518a,Email,6451,65,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3496G,Inactive,yg-2026-most-popular-em3496g,Email,18221,95,33.93,0.01,1.0,33.93,1.86,0,0,0,0,0
YG 2026 Most Popular - EM3496F,Active,yg-2026-most-popular-em3496f,Email,47220,192,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3496D,Active,yg-2026-most-popular-em3496d,Email,47618,296,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3496C,Inactive,yg-2026-most-popular-em3496c,Email,18480,137,0,0,0,0,0,0,0,0,0,0
YG 2026 Most Popular - EM3496B,Active,yg-2026-most-popular-em3496b,Email,17682,240,37.97,0.01,1.0,37.97,2.15,0,0,0,0,0
YG 2026 Most Popular - EM3496,Inactive,yg-2026-most-popular-em3496,Email,16553,235,48.71,0.01,2.0,97.41999999999999,5.89,0,0,0,0,0
YG 2026 Fruit Trees and Bushes - EM3498E,Inactive,yg-2026-fruit-trees-and-bushes-em3498e,Email,9992,92,24.07,0.01,1.0,24.07,2.41,0,0,0,0,0
YG 2026 Fruit Trees and Bushes - EM3498D,Active,yg-2026-fruit-trees-and-bushes-em3498d,Email,95064,241,21.98,0.0,1.0,21.98,0.23,0,0,0,0,0
